,Education,Marital_Status,Income,Recency,Complain,Response,Age,Children,Total_spent,Total_no_purchase,TotalAcceptedCmp,km_clust
73,3,1,56046.0,9,0,1,56,0,692,21,2,0
74,3,0,29760.0,87,0,0,36,1,165,12,0,1
75,3,1,26304.0,5,0,0,52,1,16,4,0,1
76,1,1,23559.0,87,0,0,48,1,79,9,0,1
77,1,1,38620.0,56,0,0,58,0,318,11,0,1
78,3,0,81361.0,18,0,0,34,0,778,27,0,3
79,3,1,29440.0,95,0,0,61,2,56,7,0,1
80,1,1,36138.0,48,0,0,51,2,151,13,1,1
81,3,0,50388.0,3,0,1,64,1,372,17,3,2
82,3,1,79593.0,70,0,0,48,0,1366,19,1,3
83,3,1,54178.0,79,0,0,54,1,194,10,0,1
84,1,0,42394.0,69,0,0,49,1,32,5,0,1
85,2,1,23626.0,84,0,0,51,1,43,10,0,1
86,3,1,30096.0,30,0,0,38,1,45,6,0,1
87,3,0,47916.0,72,0,0,61,1,606,22,1,0
88,3,0,51813.0,37,0,0,49,2,63,7,0,1
89,1,1,78497.0,44,0,0,70,0,978,25,1,3
90,2,1,50150.0,32,0,0,38,0,410,16,0,0
91,1,0,47823.0,0,0,0,61,1,72,7,0,1
92,2,0,34554.0,43,0,0,62,1,55,7,0,1
93,3,1,85693.0,59,0,0,42,1,1169,27,0,3
94,2,1,65846.0,68,0,0,76,0,1120,16,0,3
95,3,1,87195.0,35,0,1,62,0,1097,20,1,3
96,0,1,24594.0,94,0,0,42,1,29,5,0,1
97,3,1,49096.0,15,0,0,57,2,187,13,0,1
98,3,1,52413.0,56,0,0,52,2,910,26,0,0
99,3,0,38557.0,17,0,0,43,1,145,9,0,1
100,1,1,89058.0,18,0,0,61,0,850,14,0,3
101,3,1,77298.0,46,0,0,42,1,969,24,0,3
102,2,0,68126.0,40,0,1,30,0,1820,17,2,2
103,1,1,57288.0,27,0,0,58,1,608,20,1,0
104,3,0,86037.0,95,0,1,30,0,730,25,3,2
105,2,1,43974.0,19,0,0,41,1,551,21,0,0
106,3,0,50785.0,27,0,0,59,2,114,8,0,1
107,3,1,90765.0,25,0,0,51,0,1724,15,2,2
108,1,1,36550.0,74,0,0,43,1,577,20,0,0
109,1,1,30753.0,85,0,0,54,2,81,7,0,1
110,3,1,21918.0,37,0,0,52,1,33,7,0,1
111,1,1,56129.0,65,0,0,68,1,660,22,0,0
112,1,0,32557.0,13,0,1,54,1,80,9,1,1
113,1,1,19510.0,63,0,0,36,2,30,6,0,1
114,3,0,30992.0,83,0,0,45,1,43,5,0,1
115,3,0,101970.0,69,0,1,38,0,1135,27,4,2
116,1,1,71488.0,87,0,0,56,0,559,16,0,3
117,3,0,79607.0,37,0,1,37,0,1923,16,1,3
118,1,1,54348.0,51,0,0,68,2,90,8,0,1
119,2,1,77376.0,72,0,0,65,2,661,23,0,0
120,3,1,62998.0,10,0,0,69,1,463,19,0,0
121,1,0,61331.0,42,0,0,63,2,632,23,0,0
122,3,1,73448.0,10,0,0,52,0,725,19,0,3
123,2,1,41551.0,51,0,0,57,2,279,16,0,1
124,2,1,62981.0,21,0,0,54,0,1482,23,1,3
125,0,0,9548.0,31,0,0,45,1,29,6,0,1
126,2,1,33762.0,61,0,0,62,3,106,9,0,1
127,2,0,35860.0,37,0,1,48,2,49,6,2,1
128,2,0,36921.0,74,0,0,56,2,38,7,0,1
129,1,0,92859.0,46,0,0,29,0,2077,22,0,3
130,1,1,65104.0,4,0,1,45,1,1053,17,1,0
131,3,1,86111.0,73,0,0,59,0,1385,23,0,3
132,2,0,68352.0,47,0,0,47,1,871,25,0,0
133,3,1,41883.0,13,0,0,33,1,312,12,0,1
134,3,1,59809.0,36,0,0,45,2,877,15,0,0
135,3,1,23957.0,47,0,1,46,1,68,6,1,1
136,3,1,38547.0,49,1,0,40,1,22,4,0,1
137,1,1,35688.0,94,0,0,48,3,211,16,0,1
138,1,1,49605.0,65,0,0,55,0,127,8,0,1
139,1,1,59354.0,59,0,0,68,2,459,16,0,0
140,3,1,65747.0,96,0,0,52,1,460,19,1,0
141,1,1,46344.0,28,0,0,49,1,429,17,0,0
142,3,0,34176.0,12,0,0,33,1,89,11,0,1
143,2,1,61010.0,57,0,0,69,1,1021,26,0,0
144,3,1,69372.0,10,0,1,72,0,1381,21,3,2
145,3,0,49967.0,4,0,0,63,1,306,15,0,0
146,3,0,60199.0,49,0,0,43,3,18,4,0,1
147,3,1,55375.0,3,0,0,44,1,162,9,0,1
148,3,0,80317.0,64,0,0,66,0,1231,18,0,3
149,1,0,30523.0,0,0,0,63,3,13,4,0,1
150,2,1,70356.0,20,0,0,76,0,1706,27,0,0
151,3,1,23228.0,91,0,0,37,1,121,11,0,1
152,2,0,74165.0,9,0,0,46,0,1293,20,0,3
153,2,1,157243.0,98,0,0,48,1,1608,37,0,3
154,3,1,43482.0,83,0,0,55,3,88,9,0,1
155,3,0,62551.0,27,0,0,68,0,421,18,1,3
156,3,0,52332.0,63,0,0,62,0,259,12,1,1
157,3,0,66951.0,46,0,0,33,0,1117,15,0,3
158,3,1,26091.0,84,0,0,64,2,89,9,0,1
159,3,1,33456.0,58,0,0,56,2,36,6,0,1
160,3,1,28718.0,78,0,0,39,1,57,7,0,1
161,3,1,50447.0,4,0,0,51,2,148,8,0,1
162,2,1,53537.0,17,0,0,62,2,93,8,0,1
163,3,0,52074.0,77,0,0,54,1,119,7,1,1
164,2,1,80427.0,56,0,0,46,1,1835,28,0,3
165,2,1,83837.0,79,0,1,73,0,1318,25,3,2
166,2,1,38853.0,90,0,0,51,2,45,7,0,1
167,3,1,38285.0,96,0,0,62,3,10,4,0,1
168,1,1,78497.0,44,0,0,70,0,978,25,1,3
169,2,1,51650.0,81,0,0,45,1,191,10,0,1
170,1,1,16248.0,77,0,0,33,1,57,9,0,1
171,1,1,66835.0,21,0,0,75,0,1033,24,0,3
172,1,1,30477.0,16,0,0,37,1,66,6,0,1
173,0,1,28249.0,80,0,0,60,0,43,6,0,1
174,3,1,25271.0,45,0,0,38,1,50,5,0,1
175,2,0,32303.0,63,0,0,51,1,39,7,0,1
176,3,1,61286.0,34,0,0,55,1,608,18,0,0
177,3,1,74068.0,14,0,0,45,0,1581,24,0,3
178,2,1,45759.0,13,0,0,57,2,68,7,0,1
179,0,1,24882.0,52,0,0,43,1,80,5,1,1
180,2,1,66973.0,98,0,0,32,0,1282,28,0,3
181,1,0,36640.0,99,1,0,121,1,65,6,0,1
182,3,1,38872.0,93,0,0,33,1,91,8,0,1
183,3,1,51148.0,38,0,0,48,2,315,16,0,1
184,3,1,31353.0,24,0,0,44,2,31,6,0,1
185,1,1,69661.0,80,0,0,41,0,834,23,0,3
186,3,1,80067.0,82,0,0,67,0,1600,17,1,3
187,3,1,86718.0,20,0,0,67,0,1270,17,0,3
188,2,0,46854.0,81,0,1,48,2,263,15,2,1
189,3,0,69142.0,50,0,0,69,1,535,19,1,0
190,3,0,75922.0,60,0,0,53,0,1295,18,0,3
191,3,0,63693.0,63,0,0,43,1,1150,29,0,0
192,2,1,102160.0,54,0,1,44,0,1240,26,4,2
193,2,0,40637.0,72,0,0,56,2,38,6,0,1
194,1,0,18890.0,5,0,1,37,0,35,4,2,1
195,3,1,29604.0,88,0,0,33,1,53,5,1,1
196,1,0,48721.0,50,0,0,58,2,293,17,0,0
197,3,1,44794.0,99,0,0,55,1,65,6,0,1
198,3,0,64497.0,17,0,1,67,1,1804,29,2,0
199,3,1,46097.0,11,0,0,65,1,241,15,0,0
200,3,1,77972.0,18,0,0,67,0,1101,20,0,3
201,2,1,44377.0,70,0,0,53,2,264,19,0,0
202,1,1,46014.0,21,0,0,47,2,541,26,0,0
203,3,1,70951.0,66,0,0,36,0,1198,17,0,3
204,3,1,41443.0,79,0,0,44,1,482,20,0,0
205,1,0,52195.0,2,0,0,43,3,17,4,0,1
206,1,1,83790.0,81,0,0,73,0,1615,25,2,2
207,1,0,44551.0,24,0,0,67,1,285,12,0,1
208,3,1,69508.0,48,0,0,41,1,1135,28,0,0
209,1,1,45204.0,93,0,0,33,1,114,7,0,1
210,3,1,72460.0,56,0,0,52,0,1047,16,0,3
211,2,1,77622.0,3,0,0,51,2,714,22,0,0
212,2,1,30732.0,44,0,0,41,1,185,13,0,1
213,3,0,63887.0,38,0,0,59,1,1245,32,0,0
214,3,1,42011.0,46,0,0,43,1,189,12,0,1
215,3,1,51369.0,84,0,0,45,1,576,16,0,0
216,3,0,51537.0,27,0,0,69,1,1103,18,0,0
217,2,1,79930.0,72,0,0,49,0,1753,17,0,3
218,2,1,34320.0,66,0,0,35,1,17,4,0,1
219,3,0,37070.0,30,0,1,55,2,433,23,1,0
220,1,0,81975.0,2,0,0,59,1,1588,14,1,3
221,3,1,38590.0,65,0,0,50,1,22,4,0,1
222,3,0,15033.0,37,0,0,70,0,19,5,0,1
223,2,1,62745.0,89,0,0,56,1,1117,29,0,0
224,1,1,22212.0,49,0,0,46,1,69,8,0,1
225,1,1,23661.0,46,0,0,39,1,23,5,0,1
226,2,0,79761.0,32,0,0,63,1,605,19,0,0
227,3,0,7500.0,54,0,0,48,1,57,11,0,1
228,1,0,60182.0,23,0,0,128,1,22,4,0,1
229,3,0,73455.0,98,0,0,53,0,2088,22,1,3
230,3,1,64961.0,97,0,0,63,1,1009,16,0,3
231,3,0,22804.0,75,0,0,50,1,26,5,0,1
232,3,1,73687.0,8,0,1,31,0,1627,22,2,2
233,3,1,61074.0,37,0,0,63,1,1102,31,0,0
234,2,1,31686.0,31,0,0,57,2,17,6,0,1
235,3,1,80134.0,40,0,1,49,1,1690,16,4,2
236,3,1,75027.0,74,0,0,68,1,1390,21,0,0
237,2,1,67546.0,90,0,0,33,0,2126,20,0,3
238,1,1,65176.0,57,0,0,52,1,1531,25,0,3
239,1,0,31160.0,59,0,0,46,1,64,7,0,1
240,3,0,29938.0,52,0,0,36,1,26,6,0,1
241,3,0,102692.0,5,0,1,47,0,1112,29,5,2
242,1,1,26490.0,92,0,0,63,0,210,11,0,1
243,3,1,75702.0,77,0,0,54,2,1148,26,0,0
244,2,0,30899.0,35,0,0,47,1,33,6,0,1
245,2,1,63342.0,48,0,0,60,1,1101,19,1,0
246,3,0,45989.0,97,0,0,57,1,322,16,0,0
247,3,0,18701.0,95,0,0,57,2,44,10,0,1
248,2,0,40737.0,24,0,0,64,3,17,4,0,1
249,3,0,15287.0,60,0,1,42,1,31,6,2,1
250,2,0,69674.0,46,0,0,53,2,845,25,0,0
251,1,1,44159.0,85,0,0,51,1,275,15,0,1
252,2,1,37717.0,31,0,0,43,1,25,4,0,1
253,1,1,43776.0,9,0,1,69,2,275,17,1,0
254,1,1,38179.0,30,0,0,55,2,90,11,0,1
255,3,1,80124.0,47,0,0,58,0,1495,19,1,3
256,2,1,38097.0,70,0,1,51,2,184,11,2,1
257,3,1,72940.0,13,0,0,51,0,981,13,0,3
258,3,1,22070.0,11,0,0,51,1,67,8,0,1
259,3,0,69267.0,31,0,1,68,0,1635,14,1,3
260,1,0,31788.0,15,1,0,38,1,60,10,0,1
261,2,1,61905.0,2,0,0,46,1,231,12,0,1
262,3,1,29315.0,55,0,0,61,2,48,10,0,1
263,3,0,33378.0,38,0,0,58,2,99,9,0,1
264,2,1,66313.0,86,0,0,58,1,770,23,0,0
265,3,0,60714.0,56,0,1,65,0,957,23,1,3
266,1,1,77882.0,29,0,0,40,0,818,12,0,3
267,2,0,69867.0,30,0,1,35,0,925,17,2,2
268,1,0,63841.0,64,0,0,53,1,908,22,0,0
269,0,1,24480.0,46,0,0,40,1,102,10,0,1
270,3,1,51369.0,84,0,0,45,1,576,16,0,0
271,3,1,37760.0,20,0,0,75,0,317,13,0,1
272,2,1,65640.0,74,0,0,47,1,461,15,0,0
273,1,1,44319.0,18,0,0,46,2,37,7,0,1
274,3,1,30631.0,75,0,0,47,1,70,7,0,1
275,3,1,75278.0,17,0,0,69,0,930,23,0,3
276,1,1,50898.0,88,0,0,65,2,859,33,0,0
277,3,0,79946.0,19,0,0,55,0,1478,22,0,3
278,1,0,35416.0,62,0,0,72,0,390,16,0,0
279,1,1,32414.0,11,0,0,37,0,52,5,1,1
280,3,1,38361.0,74,0,0,52,1,137,10,0,1
281,3,1,82497.0,32,0,0,41,0,1919,19,1,3
282,3,1,16626.0,76,0,0,50,2,68,9,0,1
283,3,1,29672.0,6,0,0,56,2,25,4,0,1
284,1,1,55951.0,62,0,0,69,1,1374,23,2,2
285,1,0,35388.0,20,0,0,33,1,32,5,0,1
286,1,1,42386.0,43,0,0,35,1,100,7,0,1
287,3,0,68627.0,45,0,0,39,0,825,12,0,3
288,2,0,57912.0,34,0,0,56,1,916,28,1,0
289,3,0,35246.0,53,0,0,63,2,62,11,0,1
290,1,1,58821.0,44,0,0,65,1,728,21,0,0
291,2,1,46377.0,89,0,0,43,1,90,7,0,1
292,3,0,39747.0,43,0,0,33,1,273,13,0,1
293,3,1,23976.0,68,0,0,37,1,66,10,0,1
294,1,1,80950.0,44,0,0,60,0,1213,23,1,3
295,3,0,27038.0,64,0,1,55,0,107,7,1,1
296,3,0,77457.0,85,0,0,74,0,1157,18,1,3
297,1,1,64100.0,93,0,0,57,1,546,18,1,0
298,1,1,42670.0,12,0,0,29,0,241,11,0,1
299,3,0,12571.0,86,0,0,45,1,53,11,0,1
300,3,1,22574.0,28,0,0,54,3,37,7,0,1
301,1,0,70893.0,42,0,0,45,0,1508,23,0,3
302,3,1,54198.0,13,0,0,55,2,235,16,0,1
303,1,1,28839.0,86,0,0,65,2,32,7,0,1
304,3,1,40321.0,59,0,0,49,2,102,8,0,1
305,3,0,66503.0,30,0,0,36,1,401,15,0,1
306,3,1,30833.0,33,0,0,70,2,28,6,0,1
307,3,1,64795.0,23,0,0,50,1,680,21,0,0
308,3,1,34421.0,81,0,0,47,1,30,4,0,1
309,2,0,47025.0,6,0,0,56,2,20,4,0,1
310,2,0,64325.0,41,0,0,60,1,1307,23,0,0
311,3,0,40464.0,78,0,0,68,1,630,24,0,0
312,3,1,62187.0,49,0,0,64,0,1283,18,0,3
313,2,0,14849.0,39,0,0,45,1,65,9,0,1
314,3,1,27255.0,3,0,0,37,1,37,5,0,1
315,2,1,54432.0,37,0,0,71,3,38,5,0,1
316,2,0,29999.0,22,0,0,35,1,160,12,0,1
317,3,0,24072.0,79,0,0,38,1,23,4,0,1
318,2,0,33996.0,46,0,0,32,0,71,6,0,1
319,2,1,66334.0,82,0,1,65,1,1161,19,1,0
320,1,1,35178.0,10,0,1,50,1,59,5,2,1
321,3,1,22010.0,51,0,0,38,1,33,7,0,1
322,3,0,62204.0,38,0,0,61,2,946,22,0,0
323,3,0,75693.0,10,0,1,53,0,1442,22,4,2
324,3,1,30675.0,14,0,0,49,1,62,5,0,1
325,3,1,83003.0,18,0,1,56,0,1674,22,2,2
326,2,1,83532.0,36,0,0,122,0,1853,15,1,3
327,3,0,68655.0,95,0,0,33,0,1538,21,0,3
328,3,0,41411.0,11,0,0,35,0,139,8,0,1
329,2,1,55212.0,65,0,0,52,1,1182,20,2,2
330,2,1,59292.0,71,0,0,71,1,507,18,0,0
331,0,1,27190.0,13,0,1,48,1,18,4,2,1
332,3,0,82623.0,58,0,0,69,0,940,16,0,3
333,3,1,44300.0,65,0,0,56,2,42,6,0,1
334,3,0,84835.0,0,0,1,51,0,1190,15,1,3
335,3,0,30372.0,33,0,0,50,2,44,8,0,1
336,1,1,33181.0,90,0,0,45,1,16,4,1,1
337,3,1,71113.0,95,0,0,64,1,835,26,0,0
338,3,1,71952.0,93,0,0,35,1,1443,22,2,3
339,2,0,69759.0,38,0,1,55,0,1029,18,1,3
340,3,1,72099.0,18,0,0,47,0,1188,18,0,3
341,2,0,60000.0,57,0,0,45,1,1277,24,0,0
342,3,0,38643.0,45,1,0,43,2,49,7,0,1
343,3,1,50737.0,61,0,0,66,1,99,7,1,1
344,2,1,68462.0,6,0,0,52,0,1670,15,0,3
345,1,1,65073.0,65,1,0,78,0,900,14,0,0
346,2,1,46681.0,52,0,0,73,2,425,16,0,0
347,3,1,78618.0,87,0,0,64,0,2153,22,1,3
348,2,0,62187.0,38,0,0,52,1,636,21,0,0
349,3,1,28442.0,53,0,0,43,2,57,10,0,1
350,2,1,37717.0,31,0,0,43,1,25,4,0,1
351,3,1,51479.0,67,0,0,54,2,494,22,0,0
352,3,0,54803.0,65,0,0,52,1,693,19,0,0
353,3,1,79530.0,64,0,0,61,0,1348,26,0,3
354,3,0,31615.0,82,0,0,45,1,51,7,0,1
355,3,1,72025.0,27,0,0,59,0,1932,16,0,3
356,2,0,52614.0,63,0,0,46,1,990,16,0,0
357,1,1,35684.0,66,0,0,37,1,30,5,0,1
358,3,1,48178.0,69,0,0,46,2,254,16,0,1
359,1,0,29548.0,52,0,0,51,1,29,5,1,1
360,3,0,63810.0,45,0,0,55,1,1371,23,1,0
361,2,0,38578.0,2,0,1,49,2,73,9,1,1
362,1,0,46098.0,86,0,0,46,2,120,11,0,1
363,3,0,22585.0,23,0,1,51,0,81,5,2,1
364,3,0,30279.0,13,0,0,32,1,37,5,0,1
365,2,1,66426.0,14,0,0,60,1,1377,20,0,0
366,3,0,30822.0,92,0,0,52,1,51,5,0,1
367,2,1,33581.0,38,0,0,52,2,17,4,0,1
368,3,1,19986.0,74,0,0,36,1,22,4,0,1
369,3,0,27421.0,14,0,0,67,0,324,14,0,1
370,1,1,35688.0,94,0,0,48,3,211,16,0,1
371,1,0,36143.0,33,0,0,40,1,19,4,0,1
372,3,0,10245.0,32,0,0,50,1,41,8,0,1
373,1,1,43795.0,11,0,1,53,1,492,17,2,0
374,3,1,63381.0,78,0,0,61,1,1005,26,0,0
375,3,1,38823.0,56,0,0,72,1,114,7,0,1
376,2,0,83664.0,57,0,0,53,2,1173,19,0,0
377,3,1,90300.0,7,0,0,42,0,1738,19,1,3
378,1,1,62499.0,0,0,0,42,1,222,12,0,1
379,3,0,74293.0,66,0,0,28,0,1127,16,0,3
380,2,1,51012.0,86,0,0,75,0,209,10,0,1
381,1,1,70777.0,80,0,0,53,1,787,23,0,0
382,2,1,68682.0,56,0,0,30,0,1598,24,0,3
383,3,1,43824.0,18,0,0,50,2,186,12,0,1
384,3,1,15345.0,51,0,1,37,1,47,6,1,1
385,3,0,23442.0,71,0,0,34,1,27,5,0,1
386,1,1,14515.0,71,0,1,41,1,96,11,1,1
387,1,0,31395.0,80,0,0,65,2,64,10,0,1
388,3,1,75276.0,2,0,0,56,0,1040,23,0,3
389,3,0,42373.0,83,0,0,47,2,163,13,0,1
390,3,1,30507.0,29,0,0,61,0,343,11,0,1
391,2,0,55521.0,11,0,1,66,3,446,24,2,0
392,3,1,48006.0,55,0,0,56,2,41,5,0,1
393,2,0,27213.0,19,0,1,49,1,70,9,1,1
394,2,0,65808.0,1,0,0,50,2,272,14,0,1
395,2,1,30351.0,19,0,0,47,1,46,6,0,1
396,3,1,50437.0,28,0,0,58,2,490,19,0,0
397,1,0,23616.0,76,0,1,39,1,79,8,1,1
398,3,1,53858.0,50,0,0,45,1,915,17,0,0
399,2,1,66465.0,1,0,0,66,1,1485,35,1,0
400,3,0,46923.0,90,0,0,34,1,369,16,0,1
401,3,1,75072.0,83,0,0,59,1,1073,19,0,0
402,2,1,75865.0,73,0,0,78,0,1242,19,0,3
403,1,1,19789.0,24,0,0,46,1,78,9,1,1
404,3,1,80134.0,11,0,0,27,0,1378,21,4,2
405,3,0,91065.0,33,0,1,40,0,1474,26,3,2
406,1,1,49505.0,4,0,0,50,2,751,29,0,0
407,2,1,37401.0,14,0,0,48,1,48,7,0,1
408,3,1,30096.0,30,0,0,38,1,45,6,0,1
409,1,1,18492.0,75,0,0,39,1,10,4,0,1
410,1,1,82584.0,26,0,1,47,0,1435,16,3,2
411,2,1,93027.0,77,0,0,80,0,2119,22,1,3
412,3,1,48686.0,8,0,0,68,3,20,4,0,1
413,3,1,92910.0,42,0,0,35,0,1795,27,3,2
414,3,1,75433.0,28,0,0,32,1,1188,19,2,2
415,1,1,10404.0,52,0,0,32,1,43,7,0,1
416,3,1,61314.0,1,0,0,53,1,1008,24,0,3
417,2,0,84865.0,1,0,1,60,0,1688,16,5,2
418,3,1,42387.0,42,0,0,32,1,684,21,0,0
419,1,1,67309.0,76,0,0,54,2,1082,39,0,0
420,3,1,75236.0,27,0,0,57,1,1068,25,0,0
421,3,0,30015.0,28,0,0,51,1,57,7,0,1
422,1,1,50943.0,49,0,0,65,1,46,5,0,1
423,3,0,67272.0,12,0,0,55,1,733,23,0,0
424,1,0,51529.0,14,0,0,72,1,467,17,0,0
425,2,1,32011.0,89,0,0,50,1,122,10,0,1
426,1,1,7500.0,96,0,0,35,1,36,7,0,1
427,3,1,28691.0,56,0,0,32,1,34,5,0,1
428,2,1,56223.0,72,0,0,73,1,156,10,0,1
429,3,1,18100.0,14,0,0,75,0,14,4,0,1
430,3,0,30279.0,13,0,0,32,1,37,5,0,1
431,1,1,20130.0,99,0,0,47,0,34,5,0,1
432,3,0,23295.0,72,0,0,62,0,20,4,0,1
433,1,0,42618.0,92,0,0,49,1,192,11,0,1
434,3,0,81246.0,87,0,0,57,0,1379,17,2,3
435,3,1,24027.0,7,0,0,45,1,48,7,0,1
436,2,1,55707.0,91,0,0,68,1,428,16,0,0
437,3,0,57959.0,71,0,0,66,1,868,27,0,0
438,3,1,56796.0,24,0,0,52,1,1001,27,0,0
439,1,0,36230.0,17,0,0,50,1,59,7,0,1
440,1,1,70829.0,87,0,0,41,2,431,16,0,0
441,3,1,65991.0,21,0,0,45,1,971,27,0,0
442,3,1,38988.0,90,0,0,49,3,348,19,0,0
443,1,0,89572.0,44,0,1,55,0,2059,24,3,2
444,1,1,42207.0,71,0,1,37,1,265,14,2,1
445,3,1,50300.0,52,0,0,69,1,270,13,0,0
446,1,1,66664.0,78,0,0,39,0,1289,19,0,3
447,3,1,60597.0,2,0,1,57,1,893,16,2,0
448,3,0,70165.0,60,0,0,72,0,926,22,0,3
449,2,0,50520.0,25,0,0,63,1,135,9,0,1
450,3,1,80124.0,47,0,0,58,0,1495,19,1,3
451,3,1,33183.0,46,0,0,46,1,120,9,0,1
452,2,0,66582.0,83,0,0,52,0,1288,20,0,3
453,2,1,75261.0,17,0,1,66,0,1743,17,3,2
454,3,0,31880.0,13,0,0,51,1,15,4,0,1
455,3,1,53790.0,86,0,0,70,2,542,20,0,0
456,2,1,49269.0,92,0,0,50,1,890,25,0,0
457,3,1,61456.0,47,0,0,46,1,1388,33,0,3
458,3,1,37406.0,18,0,1,41,1,17,4,1,1
459,2,1,56937.0,81,0,1,40,1,906,30,2,0
460,3,1,38415.0,91,0,0,43,2,44,6,0,1
461,3,0,20518.0,58,0,0,33,1,25,5,0,1
462,3,1,62503.0,40,0,0,65,1,973,26,0,0
463,2,0,41644.0,67,0,0,49,2,31,6,0,1
464,1,1,55842.0,19,0,0,44,1,518,17,0,0
465,2,1,62010.0,93,0,0,49,1,530,19,0,0
466,3,1,41124.0,41,0,0,44,1,506,21,0,0
467,1,1,38961.0,60,0,0,48,1,70,6,0,1
468,1,0,37760.0,54,0,0,49,1,54,6,0,1
469,3,0,32233.0,26,0,1,47,1,296,12,2,1
470,3,1,43057.0,30,0,0,46,1,266,15,0,1
471,1,1,83151.0,93,0,0,61,0,747,19,0,3
472,2,0,78825.0,35,0,1,57,0,895,29,1,3
473,1,1,65104.0,4,0,0,45,1,1053,17,0,0
